Symbol,Company,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
PSTG,"Pure Storage, Inc.",14.95,2.39,19.03%,11.449M,1.777M,3.12B,N/A,
BECN,"Beacon Roofing Supply, Inc.",47.3,3.76,8.64%,2.335M,"397,490",2.856B,28.86,
SPLK,Splunk Inc.,65.39,5.11,8.48%,8.358M,1.634M,9.048B,N/A,
URBN,"Urban Outfitters, Inc.",21.62,1.62,8.10%,7.312M,4.307M,2.406B,12.62,
MRVL,Marvell Technology Group Ltd.,17.05,1.19,7.50%,14.619M,6.699M,8.569B,57.6,
LFC,China Life Insurance Company Limited,16.2,0.92,6.02%,1.284M,"418,144",118.661B,31.76,
BHI,Baker Hughes Incorporated,57.68,3.17,5.82%,4.125M,7.162M,24.542B,N/A,
AAL,American Airlines Group Inc.,45.25,2.33,5.43%,11.738M,5.657M,22.037B,10.85,
RGC,Regal Entertainment Group,14.71,0.7,5.00%,4.165M,2.548M,2.3B,12.9,
OII,"Oceaneering International, Inc.",23.31,1.03,4.62%,2.25M,1.495M,2.291B,N/A,
OR,Osisko Gold Royalties Ltd.,13.58,0.63,4.86%,"899,857","741,150",2.105B,40.78,
AEO,"American Eagle Outfitters, Inc.",12.73,0.53,4.34%,7.023M,3.991M,2.253B,11.78,
SAVE,"Spirit Airlines, Inc.",35.78,1.44,4.19%,1.689M,1.54M,2.482B,10.63,
LUV,Southwest Airlines Co.,52.68,1.97,3.88%,8.843M,5.156M,31.532B,15.8,
ADSK,"Autodesk, Inc.",114.97,4.36,3.94%,7.121M,2.057M,25.338B,N/A,
Q,"Quintiles IMS Holdings, Inc.",98.82,3.71,3.90%,9.834M,1.163M,21.397B,218.63,
PTEN,"Patterson-UTI Energy, Inc.",15.85,0.59,3.87%,3.699M,4.392M,3.382B,N/A,
SIG,Signet Jewelers Limited,62.68,2.14,3.53%,5.573M,2.059M,4.288B,9.96,
LTM,LATAM Airlines Group S.A.,12.31,0.44,3.71%,"425,352","453,447",7.465B,212.24,
